datetime,open,high,low,close
2017-07-17 09:15:00,9908.15,9916.7,9894.85,9915.3
2017-07-17 10:15:00,9915.45,9920.3,9911.8,9915.25
2017-07-17 11:15:00,9915.4,9916.55,9902.75,9904.7
2017-07-17 12:15:00,9904.75,9911.1,9902.6,9907.05
2017-07-17 13:15:00,9907.25,9917.3,9904.3,9917.3
2017-07-17 14:15:00,9917.4,9928.2,9916.0,9919.9
2017-07-17 15:15:00,9919.05,9921.3,9910.4,9913.65
2017-07-18 09:15:00,9863.5,9884.45,9853.25,9873.35
2017-07-18 10:15:00,9872.75,9875.7,9842.45,9853.1
2017-07-18 11:15:00,9853.35,9862.85,9850.9,9856.25
2017-07-18 12:15:00,9856.35,9858.85,9842.9,9842.95
2017-07-18 13:15:00,9844.25,9870.8,9842.05,9867.6
2017-07-18 14:15:00,9869.55,9869.55,9817.95,9829.85
2017-07-18 15:15:00,9825.95,9828.45,9824.2,9828.45
2017-07-19 09:15:00,9866.8,9873.8,9853.9,9863.9
2017-07-19 10:15:00,9865.4,9876.15,9865.4,9872.8
2017-07-19 11:15:00,9872.8,9881.35,9871.5,9878.6
2017-07-19 12:15:00,9880.5,9888.8,9873.3,9875.3
2017-07-19 13:15:00,9875.85,9876.7,9862.0,9876.7
2017-07-19 14:15:00,9876.9,9903.45,9875.2,9897.95
2017-07-19 15:15:00,9898.95,9904.0,9898.95,9902.05
2017-07-20 09:15:00,9914.0,9920.45,9894.65,9894.65
2017-07-20 10:15:00,9895.75,9909.0,9889.45,9909.0
2017-07-20 11:15:00,9909.65,9909.65,9893.0,9893.5
2017-07-20 12:15:00,9893.8,9893.8,9864.05,9879.75
2017-07-20 13:15:00,9881.65,9889.55,9866.15,9875.7
2017-07-20 14:15:00,9875.4,9887.35,9869.0,9871.2
2017-07-20 15:15:00,9869.95,9875.75,9869.95,9870.9
2017-07-21 09:15:00,9893.9,9918.0,9881.65,9918.0
2017-07-21 10:15:00,9916.2,9916.2,9906.1,9913.25
2017-07-21 11:15:00,9911.9,9911.9,9884.9,9888.2
2017-07-21 12:15:00,9886.1,9895.75,9840.0,9853.0
2017-07-21 13:15:00,9847.6,9877.7,9847.6,9865.8
2017-07-21 14:15:00,9870.15,9917.35,9870.15,9917.35
2017-07-21 15:15:00,9917.05,9922.95,9914.15,9914.15
2017-07-24 09:15:00,9924.65,9952.9,9919.9,9949.3
2017-07-24 10:15:00,9950.25,9968.0,9950.25,9964.95
2017-07-24 11:15:00,9964.5,9965.4,9956.7,9958.65
2017-07-24 12:15:00,9959.2,9969.6,9956.75,9960.95
2017-07-24 13:15:00,9958.95,9975.1,9958.3,9974.5
2017-07-24 14:15:00,9973.3,9980.4,9951.65,9966.2
2017-07-24 15:15:00,9963.95,9972.6,9963.95,9965.55
2017-07-25 09:15:00,9993.05,9993.85,9957.6,9971.6
2017-07-25 10:15:00,9972.4,9976.05,9964.5,9969.4
2017-07-25 11:15:00,9970.2,9970.2,9951.95,9954.8
2017-07-25 12:15:00,9954.45,9962.0,9949.65,9953.95
2017-07-25 13:15:00,9952.05,9974.25,9951.7,9974.25
2017-07-25 14:15:00,9975.8,9978.65,9961.45,9961.45
2017-07-25 15:15:00,9960.5,9964.8,9958.9,9964.8
2017-07-26 09:15:00,9977.4,9989.6,9969.5,9982.45
2017-07-26 10:15:00,9982.3,9995.9,9981.25,9990.15
2017-07-26 11:15:00,9989.1,10001.55,9988.15,10001.3
2017-07-26 12:15:00,10004.3,10010.15,9992.6,9995.8
2017-07-26 13:15:00,9995.75,10004.8,9987.7,9998.7
2017-07-26 14:15:00,9998.1,10024.2,9997.8,10021.35
2017-07-26 15:15:00,10023.6,10024.45,10020.3,10020.3
2017-07-27 09:15:00,10061.2,10096.85,10061.2,10087.25
2017-07-27 10:15:00,10088.55,10106.5,10084.5,10105.5
2017-07-27 11:15:00,10109.55,10113.8,10096.5,10104.1
2017-07-27 12:15:00,10102.45,10102.45,10061.9,10078.3
2017-07-27 13:15:00,10077.85,10081.1,10056.6,10074.5
2017-07-27 14:15:00,10075.95,10082.7,10007.15,10018.05
2017-07-27 15:15:00,10018.05,10021.9,10012.1,10020.6
2017-07-28 09:15:00,9980.0,9990.05,9964.4,9988.0
2017-07-28 10:15:00,9985.0,9997.95,9974.95,9987.05
2017-07-28 11:15:00,9985.9,9994.35,9976.35,9983.15
2017-07-28 12:15:00,9982.0,9987.5,9967.45,9975.95
2017-07-28 13:15:00,9973.7,9981.3,9946.45,9978.0
2017-07-28 14:15:00,9978.9,10017.7,9970.15,10014.35
2017-07-28 15:15:00,10011.05,10024.4,10002.95,10002.95
2017-07-31 09:15:00,10023.7,10046.55,10021.3,10031.95
2017-07-31 10:15:00,10030.8,10047.55,10026.45,10037.6
2017-07-31 11:15:00,10038.1,10048.8,10038.1,10043.1
2017-07-31 12:15:00,10041.75,10057.55,10038.3,10052.35
2017-07-31 13:15:00,10051.4,10062.1,10048.15,10050.45
2017-07-31 14:15:00,10044.15,10080.1,10044.15,10078.55
2017-07-31 15:15:00,10079.05,10084.8,10076.95,10076.95
2017-08-01 09:15:00,10086.4,10099.6,10081.1,10096.0
2017-08-01 10:15:00,10098.25,10099.95,10076.0,10077.75
2017-08-01 11:15:00,10077.15,10086.9,10067.25,10086.2
2017-08-01 12:15:00,10086.35,10093.5,10080.2,10084.1
2017-08-01 13:15:00,10083.5,10098.55,10082.8,10097.7
2017-08-01 14:15:00,10096.5,10119.2,10077.8,10119.2
2017-08-01 15:15:00,10119.75,10127.2,10117.85,10120.35
2017-08-02 09:15:00,10126.4,10127.6,10106.75,10108.1
2017-08-02 10:15:00,10107.7,10111.7,10092.75,10100.4
2017-08-02 11:15:00,10098.65,10105.95,10096.55,10099.65
2017-08-02 12:15:00,10099.8,10101.3,10088.9,10090.35
2017-08-02 13:15:00,10089.5,10101.45,10088.55,10092.65
2017-08-02 14:15:00,10091.0,10101.6,10070.3,10091.5
2017-08-02 15:15:00,10084.1,10084.8,10058.1,10058.1
2017-08-03 09:15:00,10068.45,10071.25,10028.45,10032.75
2017-08-03 10:15:00,10029.55,10044.05,10024.2,10033.45
2017-08-03 11:15:00,10035.05,10049.1,10034.0,10042.85
2017-08-03 12:15:00,10041.85,10051.9,10040.8,10049.0
2017-08-03 13:15:00,10049.35,10049.35,10029.5,10040.4
2017-08-03 14:15:00,10039.9,10039.9,9999.6,10020.05
2017-08-03 15:15:00,10016.7,10018.15,10003.85,10003.85
2017-08-04 09:15:00,10006.8,10024.5,9993.25,10007.1
2017-08-04 10:15:00,10009.15,10014.3,9989.8,10000.85
2017-08-04 11:15:00,10001.65,10006.55,9994.5,9999.5
2017-08-04 12:15:00,9999.65,10015.35,9998.65,10004.55
2017-08-04 13:15:00,10003.0,10046.9,10003.0,10046.9
2017-08-04 14:15:00,10047.0,10071.05,10036.3,10070.45
2017-08-04 15:15:00,10070.2,10073.7,10067.55,10068.5
2017-08-07 09:15:00,10073.35,10087.25,10058.4,10074.35
2017-08-07 10:15:00,10074.55,10085.8,10068.45,10079.05
2017-08-07 11:15:00,10077.3,10081.1,10070.4,10071.0
2017-08-07 12:15:00,10069.75,10075.8,10068.6,10074.05
2017-08-07 13:15:00,10073.3,10073.65,10060.2,10072.45
2017-08-07 14:15:00,10073.8,10080.1,10054.3,10055.15
2017-08-07 15:15:00,10054.4,10055.7,10048.0,10049.6
2017-08-08 09:15:00,10073.1,10083.55,9984.65,9984.65
2017-08-08 10:15:00,9977.75,10002.0,9949.3,10002.0
2017-08-08 11:15:00,10000.65,10021.65,9994.9,10003.35
2017-08-08 12:15:00,10003.5,10013.0,10000.85,10005.4
2017-08-08 13:15:00,10004.4,10009.45,9971.0,9983.4
2017-08-08 14:15:00,9984.75,9992.15,9968.3,9971.9
2017-08-08 15:15:00,9972.6,9986.2,9972.6,9977.1
2017-08-09 09:15:00,9942.9,9960.5,9927.25,9956.7
2017-08-09 10:15:00,9962.2,9967.0,9945.35,9949.4
2017-08-09 11:15:00,9950.25,9950.25,9930.7,9941.1
2017-08-09 12:15:00,9938.8,9948.3,9933.35,9933.35
2017-08-09 13:15:00,9932.25,9936.7,9914.0,9930.15
2017-08-09 14:15:00,9934.15,9960.35,9911.6,9911.6
2017-08-09 15:15:00,9909.35,9909.35,9893.9,9900.3
2017-08-10 09:15:00,9866.3,9875.75,9836.55,9853.6
2017-08-10 10:15:00,9856.3,9891.7,9852.45,9890.3
2017-08-10 11:15:00,9890.0,9890.9,9870.9,9871.85
2017-08-10 12:15:00,9871.2,9877.15,9851.9,9856.5
2017-08-10 13:15:00,9853.25,9859.6,9840.1,9856.2
2017-08-10 14:15:00,9855.35,9855.35,9783.3,9814.8
2017-08-10 15:15:00,9819.5,9850.0,9819.5,9850.0
2017-08-11 09:15:00,9718.45,9737.75,9712.9,9731.4
2017-08-11 10:15:00,9734.65,9756.4,9729.15,9750.55
2017-08-11 11:15:00,9753.15,9770.3,9740.85,9756.45
